Domain Object,Description,Suites,State,SOR / Bifrost Domain,Suite Count,Notes
Purchasing Card (Card),A purchasing card (physical or virtual) issued to a Cardholder. Tracks card type (physical/virtual) credit limit processor reference and lifecycle status.,AP,complete,PurchasingCard,1,PCard domain entirely absent from inventory
Cardholder,Registry record for an employee enrolled in the card program. Tracks default coding preferences approver assignment and lifecycle status independent of individual card issuance.,AP FIN,complete,PurchasingCard,2,PCard domain entirely absent from inventory
Card Program,Configuration record for a purchasing card program at an entity. Defines credit limits approval routing statement cycle dates GL clearing account and bank vendor link.,AP,complete,PurchasingCard,1,PCard domain entirely absent from inventory
PCard Transaction,A bank-feed transaction imported from the card processor. Tracks merchant details amount and lifecycle through coding approval and GL posting.,AP FIN,complete,PurchasingCard,2,PCard domain entirely absent from inventory
PCard Statement,Per-card billing statement grouping a period's transactions. Lifecycle: OPEN → SUBMITTED → APPROVED/REJECTED → INVOICED → PAID. GL posting is statement-level and all-or-nothing.,AP,complete,PurchasingCard,1,PCard domain entirely absent from inventory
PCardImportFile,Record of a bank-feed file upload. Tracks parse status row count duplicate skips and error details.,AP,complete,PurchasingCard,1,PCard domain entirely absent from inventory
VendorContact,A contact person associated with a vendor capturing communication details roles and status used to coordinate vendor relationships.,PRO FIN,complete,VendorManagement,2,Sub-entity of Vendor
Vendor Certificate,A compliance certificate for a vendor including type issue date and expiry. Tracks qualifications compliance or insurance requirements (e.g. DBE minority-owned).,PRO,complete,VendorManagement,1,Sub-entity of Vendor
VendorAttachment,A file attachment associated with a vendor record for compliance documentation or contract purposes.,PRO AP,complete,VendorManagement,2,Sub-entity of Vendor
Vendor Address,A vendor address for billing remit-to or shipping purposes used in procurement workflows.,PRO AP,complete,VendorManagement,2,Sub-entity of Vendor
Vendor Payment Method,A vendor payment method with banking details (ACH wire check) and default preferences for disbursement.,AP,complete,VendorManagement,1,Sub-entity of Vendor
Vendor Info 1099,IRS 1099 tax information for a vendor used for year-end tax reporting and compliance.,FIN AP,complete,VendorManagement,2,Sub-entity of Vendor
Vendor Local Profile,An entity-specific vendor profile capturing local government-specific data for a vendor.,PRO,complete,VendorManagement,1,Sub-entity of Vendor
Task (Generic),A cross-suite work item scoped to an entity with optional assignee subject URN actions and outcome tracking. Intentionally distinct from Labor Task (EAM-specific) per ADR-65.,ALL,complete,TaskManagement,5,Different from Labor Task — ADR-65 calls this out explicitly
Utility Service,A utility service definition (water sewer electricity gas) that can be assigned to a customer Account at a specific service location.,UB,complete,RevenueCore,1,Sub-entity of RevenueCore; Service in Bifrost
Rate Schedule,A versioned schedule of rate tiers defining billing rates for a utility service. Rate Codes reference Rate Schedules for charge calculation.,UB,complete,RevenueCore,1,Sub-entity of RevenueCore
Posting Code,A GL posting rule linking charge types to the appropriate general ledger account to ensure billed charges post to the correct revenue account.,UB FIN,complete,RevenueCore,2,Sub-entity of RevenueCore
Account Service,A link record associating a specific Utility Service with a customer Account including start date and end date.,UB,complete,RevenueCore,1,Link/join entity in RevenueCore
Customer Mailing Address,A mailing address on a utility customer record used for billing statements and correspondence.,UB,complete,RevenueCore,1,Sub-entity of Customer (RevenueCore)
Customer Contact,A phone or contact record on a utility customer record.,UB,complete,RevenueCore,1,Sub-entity of Customer (RevenueCore)
CoA Segment,A dimension in the Chart of Accounts structure (Fund Department Object Program Project). Defines how financial data is classified and reported. Present in sheet 2 but not sheet 1.,ALL,complete,GeneralLedger,6,In gsheet sheet 2 definition tab only
Segment Group,A hierarchical grouping of segment codes within a CoA segment used for reporting hierarchies and budget roll-ups.,FIN B&P,complete,GeneralLedger,2,Sub-entity of CoA Segment
Fiscal Year,A fiscal year containing open or closed fiscal periods. Controls which periods are available for journal entry posting and period-end close processes.,FIN,complete,GeneralLedger,1,Important financial control object
Fund Configuration,Configuration mapping fund segment codes to their associated segment IDs and controlling fund-based account behavior and subledger integration.,FIN,complete,GeneralLedger,1,Technical config — debatable as domain object
Fund Account Mapping,Mapping between fund segment codes and COA accounts defining which accounts are valid for each fund for cross-suite posting.,FIN,complete,GeneralLedger,1,Technical config — debatable as domain object
GL Export Job,An export job record managing data export operations from the General Ledger allowing consumers to trigger exports and retrieve results.,FIN,complete,GeneralLedger,1,Operational entity — debatable as domain object
Receipt,A record confirming goods or services received against a Purchase Order. Required for three-way match (PO + Receipt + Invoice). Listed in gsheet sheet 2 but absent from primary sheet 1 inventory.,PRO AP EAM,complete,Receipts,3,In gsheet sheet 2 only — should be in sheet 1
